text,label
"Exigen diputados del PRI salida de Ochoa . Exigen diputados del PRI salida de Ochoa Acusan falta de operación política y comunicación con los liderazgos locales Según lo publicado por el Periódico Reforma un grupo de al menos *NUMBER* Diputados federales del Partido Revolucionario Institucional (PRI) pidieron este martes la renuncia del dirigente nacional de su partido, Enrique Ochoa Reza, debido a favoritismos, imposiciones, maltrato, omisiones, cerrazón para el diálogo, ausencia de negociación y de operación cicatriz.. El fin de semana pasado Enrique Ochoa fue tundido en redes sociales por llamar 'prietos que no aprietan' a ex militantes del PRI que huyeron hacia Morena. Según lo publicado por el medio de comunicación nacional, en una reunión privada, previa a la sesión de este día en San Lázaro, los legisladores priistas solicitaron a su nuevo coordinador, Carlos Iriarte, ser el conducto para pedir al presidente Enrique Peña Nieto un relevo en la presidencia del Comité Ejecutivo Nacional (CEN), antes de que inicie las campañas. Fueron al menos *NUMBER* los legisladores federales testigos de la exigencia señalando a Ochoa Reza por la falta de operación política y comunicación con los liderazgos locales en la designación de las candidaturas. La inconformidad por el reparto de espacios para el Senado y algunas posiciones locales desataron la crisis que, en los últimos días, ha generado hasta la renuncia de militantes del tricolor. ""Se pidió al coordinador Iriarte que fuera el conducto con Los Pinos para solicitar la destitución de Ochoa. Mientras Ochoa esté ahí, no hay ánimo para trabajar y nadie está dispuesto a hacerlo"", aseveró uno de los priistas. ""Todos hablaron de un solo tema: pedir la cabeza de Enrique Ochoa"", sintetizó otro. ""Los reclamos fueron tres: los priistas están renunciando y Ochoa no hace nada; no hay operación en los estados ni para",1
"Detenida en Melilla una madre que trajo a sus hijos desde Marruecos para dejarlos bajo tutela de la ciudad . La Guardia Civil ha interceptado en el puerto de Ceuta a un menor de 13 años sin documentaciónque manifestaba ser de Ceuta y que viajaba con dos personas, ambas de nacionalidad marroquí con documentos falsos y que ha sido detenidas. Según ha informado est",0
" . Al recibir apoyo de López Obrador, les prohíbe criticarlo, votar awebo por Morena y obedecer la cuarta. Bienvenidos al Gobierno donde la corrupción es la que reina....",1
"El inversor francés dueño del 3% tampoco acudirá a la OPA .  El presidente paraguayo, Mario Abdo Benítez , está a salvo en el cargo. Tras una semana de negociaciones, el oficialista Partido Colorado ha acordado bloquear en el Congreso una petición opositora de juicio político, resultado de un polémico pacto energé",0
" . DETENIDOS DOS HOMBRES EN LA COMUNIDAD DE MADRID Han detenido en la Comunidad de Madrid a dos individuos uno estaca en Collado Viiiaioa en un coche Azul con muchas pastillas incendianas y gasolina y otro iba en moto y tras la persecución se ha caído y roto vanos huesos, los dos son habitantes de la zona le La Granja de San Ildefonso",1
Con el propósito de impulsar el desarrollo y el bienestar de los habitantes en los municipios de Caloto Guachené y Puerto Tejada las empresas Postobón Incauca y la Zona Franca del Cauca crearon una alianza llamada Cauca tiene Norte.Con esta iniciativa ya se ha beneficiado a más de 3.500 caucanos con la promoción del desarrollo inclusivo soluciones de agua y saneamiento básico y entrega de mobiliario escolar.Según explicaron en un comunicado la alianza capacita a los habitantes de estas zonas en habilidades socioemocionales para que sean agentes de cambio innovador en la región y les ayuda a estructurar capacidades de comunicación relacionamiento escucha asertiva manejo de las emociones para el desarrollo de proyectos de vida de cara a sus comunidades.A finales de noviembre bajo la línea de trabajo de la alianza denominada Desarrollo Inclusivo 93 jóvenes entre los 14 y 28 años de edad pertenecientes a los municipios impactados iniciaron un proceso formativo de dos años con el programa llamado Líderes con Propósito el cual es operado por la Fundación Carvajal indicaron.En la segunda línea de acción que se concentra en la entrega de soluciones de agua y saneamiento básico ya se instalaron 14 Ekomuros y seis Ekolavamanos en 14 instituciones educativas beneficiando a más de 3.226 estudiantes quienes tendrán acceso agua apta para el consumo humano.Los Ekomuros son un sistema vertical construido con bidones o botellas de PET reciclado que se conectan entre sí para recolectar aguas lluvia o almacenar agua traída desde fuentes como ríos y quebradas. Por medio de la decantación por gravedad el agua acumulada en el Ekomuro pasa por un filtro tipo Sawyer que la limpia y potabiliza dejándola apta para el consumo humano. De esa forma cada Ekomuro puede almacenar más de 3.000 litros de agua al mes beneficiando en este caso a la,0
"El Ayuntamiento de Alicante cierra otro ejercicio con más de 40 millones de superávit . A una semana de que finalice el plazo de aceptación de la oferta lanzada por el magnate ruso Mikhail Fridman para hacerse con la totalidad del capital de Dia, el consejero delegado de la cadena de supermercados (al principio contrario a los planes del rus",0
" . Aunque sea presidente de una comunidad, es un desgraciado. Mire usted señor, esos muertos lo están, porque esos presos d ETA los asesinaron ""innecesariamente"". Urkullu: Los muertos, muertos están. No es ético que miembros de ETA sufran innecesariamente.",1
Bbva reveló el Consumption Tracker para junio un indicador que monitorea las transacciones de tarjetas débito y crédito de los clientes del banco para medir el gasto y clasificarlo en región y categoría.El consumo en lo corrido de junio se ubicó 92 por encima de lo registrado en el mismo periodo de 2019 antes de la pandemia. Mientras que los bienes siguieron la buena dinámica observada en mayo y se ubicaron 20 por encima de lo registrado en 2019 los servicios repuntaron y alcanzaron el segundo registro más alto desde el inicio de la pandemia después del observado en marzo de este año ubicándose tan solo 7 por debajo del nivel prepandemia.El gasto en aerolíneas creció aunque aún se ubica 20 por debajo de la cifra prepandemia.El entretenimiento mostró una mejor dinámica sin embargo se ubicó 60 por debajo de lo registrado previo a la pandemia. El gasto en hoteles y restaurantes repuntó y se ubicó muy cerca del registro de marzo mes en el cual estos sectores alcanzaron niveles que no se veían desde febrero de 2020.Con el inicio de la temporada de vacaciones de mitad de año y la mayor apertura económica en algunas ciudades se reactivan los sectores de servicios reveló el informe de la entidad.,0
" . La Asociación publicará las estadísticas en 2019. Tuve un error en directo, fueron 57 víctimas, y se incluye a madres, madrastras y parejas de padres. También estamos terminando el listado de hijos asesinados por sus padres. Un poco de paciencia, por favor.",1
" . una imagen en la que se ve a miembros del Gobierno, entre ellos el presidente Pedro Sánchez, hablando en un 'corrillo' sin respetar la distancia social.",1
Durante la última semana el precio del dólar subió 1655 luego de que cerró 3589 por encima de la TRM en la última jornada recuperando así las pérdidas de días anteriores.De hecho hasta ayer la moneda estadounidense había descendido 1934 sin embargo este viernes cerró a 3.625 en promedio.Esta fuerte recuperación se dio luego de que se conociera que el Índice de Precios al Consumidor IPC de Estados Unidos subió 06 el segundo mayor avance en más de una década.Aunque distorsionado por la pandemia el IPC saltó 5 respecto al año anterior la mayor ganancia anual desde agosto de 2008 según datos del Departamento de Trabajo de Estados Unidos.Las ganancias fueron impulsadas en gran parte por el retroceso de los precios en categorías asociadas con una reapertura más amplia de la economía. El informe del IPC mostró un crecimiento constante en los costos de vehículos usados muebles para el hogar pasajes aéreos y vestuario.El aumento en automóviles y camiones usados representó un tercio del avance mensual total en este indicador.Si bien las ganancias en estas áreas respaldan la opinión de la Reserva Federal de las presiones temporales de precios vemos signos de que las presiones inflacionarias se están ampliando lo que creemos evitará que las ganancias mensuales de precios simplemente vuelvan a su tendencia prepandémica dijeron las economistas Sarah House y Shannon Seery de Wells Fargo.,0
Trump presenta un proyecto de reforma migratoria condenado al fracaso . Al menos dos muertos y 16 heridos en un ataque con arma blanca contra un grupo de escolares en Japón.,0
" . Alemania, Holanda, Finlandia, Austria y otros países ricos del Norte de Europa"" niegan la ayuda económica que solicita España debido a la crisis por el coronavirus argumentando el elevado número de coches oficiales y ""políticos a sueldo del Estado"" que supuestamente hay en nuestro país. Además, también se está compartiendo mucho un contenido que asegura que los ""países fuertes de Europa"" le han dicho a España que si reduce ""el 25% de políticos hay dinero",1
"Despedido camarero por dibujar “penes” en la espuma del café de sus clientes . Jose Santos es un joven camarero que trabaja en una famosa cafetería barcelonesa, mejor dicho trabajaba, porque la semana pasada fue despedido debido a su curiosa afición. Dicho camarero, además es un gran artista, desde pequeño se le ha dado muy bien dibujar pero no ha tenido suerte en ese sector así que se gana la vida dignamente sirviendo cafés. Hace unos años hizo un curso que le permitiría mostrar algo de su arte en su trabajo dibujando sobre la espuma de los cafés. Una vez terminado el curso ya dominaba este arte y le dio un punto más “cool” a la cafetería donde trabajaba. El problema ha sido que Jose también es un cachondo “no he podido resistirme, llevo toda la vida dibujando pollas en todos los sitios que puedo, se me da genial y ahora tenía un nuevo sitio para mostrar mi don”. Este don no ha sido del todo bien recibido por algunos clientes y finalmente ha sido despedido “al principio no sabía muy bien lo que era, me parecía un animalito, hasta que caí, qué grosería” comenta una de las clientas afectadas.",1
En 2018 un equipo multidisciplinario de la Bolsa de Comercio de Santiago BCS la Bolsa de Valores de Colombia BVC y del Grupo Bolsa de Valores de Lima Grupo BVL comenzó un proceso de evaluación para conocer qué posibilidades habían de mayor integración entre los tres países. El objetivo Lograr un mayor desarrollo del mercado regional a través de una estandarización de los modelos de negocios y por tanto la generación de sinergias tecnológicas y operacionales entre otros aspectos.Este trabajo técnico fue respaldado por seis informes independientes que abarcaron un análisis tributario estratégico legalregulatorio de jurisdicción de valorización financiera y de Due Diligence además de una asesoría específica para la redacción de una propuesta de Acuerdo Marco de Integración AMI.En este sentido los tres directorios de las bolsas acordaron poner en conocimiento de sus accionistas la información necesaria que permita concretar la integración a nivel de la propiedad del modelo de negocio e infraestructura común y de la armonización normativa y regulatoria.Lo primero que dice el documento es que los negocios que formarán parte de la integración de la propiedad llamada la Holding Regional serán las bolsas de valores de los tres países las cámaras de compensación de Chile y Colombia los depósitos de valores de Colombia y Perú las participaciones relevantes en los depósitos de valores de Chile y Bolivia las participaciones relevantes en las plataformas OTC que operan en Colombia y Perú y otros negocios y participaciones.Lo segundo que se definió en el documento es el ejercicio de valorización financiera de las tres entidades y la fijación de los rangos de términos de intercambio para la conformación de una entidad integrada. Es decir se acordó poner en conocimiento de los accionistas de BVC que la integración evaluada por el Consejo contempla la siguiente relación de intercambio El 100,0
"El Defensor del Pueblo investiga la muerte de un marroquí en el Centro de Extranjeros de Valencia . La policía científica investiga un crimen, en una foto de archivo. Albert GarciaEl hombre de 30 años que resultó herido grave en una agresión con arma blanca el pasado sábado en La Torre de Claramunt (Anoia) falleció anoche en el hospital, por lo que al j",0
"Como parte de las iniciativas anuales que impulsa el equipo de Open Innovation de BBVA, llega la tercera edición de la HackathonBBVA 2022. Una competencia global que busca reunir a los mejores talentos informáticos para encontrar soluciones innovadoras a problemas reales de la banca. Este año, la cita se llevará a cabo del 21 al 23 de octubre y será nuevamente, completamente digital. Hoy en día, la innovación se ha convertido en el motor principal de la transformación y crecimiento de los negocios. Esta capacidad permite desarrollar e implementar nuevas ideas y soluciones a problemáticas o retos complejos del mundo actual. En el sector financiero peruano, por ejemplo, el ecosistema emprendedor está creciendo poco a poco y bancos como BBVA están impulsando y desarrollando iniciativas que ayuden a que se consolide cada vez más.",0
" . Mucho cuidado con SIMLA MIRCH: es un nuevo tipo de insecto encontrado en el Pimenton o Morron. Corte y verifique antes de cocinarlo. El SIMPLA MIRCH ataca su cuerpo y vive en areas mojadas del cuerpo, puede causar mucho dolor y el mismo te puede llevar a la muerte.",1
"Personas que usen gafas serán consideradas discapacitadas a partir de *NUMBER* . Personas que usen gafas serán consideradas discapacitadas a partir de *NUMBER*
El Ministerio de Sanidad, Servicios Sociales e Igualdad ha emitido un comunicado el pasado lunes haciendo oficial que todas las personas que usen gafas serán consideradas a partir de *NUMBER* discapacitadas, beneficiándose así de todos los derechos que disfrutan los mismos de su condición.
La discapacidad es aquella condición bajo la cual ciertas personas presentan deficiencias físicas, mentales, intelectuales o sensoriales a largo plazo que al interactuar con diversas barreras, puedan impedir su participación plena y efectiva en la sociedad. La vista, en este caso, es un problema cada vez más común en nuestra sociedad.
Así pues, todas las personas que usen gafas dispondrán a partir de *NUMBER* de un carnet para discapacitados con beneficios fiscales y prestaciones sociales que antes no disfrutaban, así como preferencia a la hora de conducir, gafas 3D especiales en los cines, precios exclusivos en los gimnasios ya que siempre se les empañan las gafas, y en el colegio nadie más podrá volver a llamarles ""cuatro ojos"", ya que será motivo de sanción económica.",1
" . El incendio forestal declarado este sábado en Gran Canaria ha entrado en el Parque Natural de Tamadaba. Ángel Medina G. EFEEl Parque Natural de Tamadaba, afectado por el incendio que está asolando la cumbre de Gran Canaria desde este sábado 17 de agosto, ",0
El Informe Situación Inmobiliaria México correspondiente al primer semestre de 2022 destaca el fuerte crecimiento al cierre del 2021 del mercado hipotecario 6.6 en número de créditos y 15.3 en monto real adelantándose a la recuperación económica y del empleo. Este resultado se debe a la mayor demanda por crédito en los segmentos medios y residenciales con lo que la Banca crece a doble dígito mientras que los institutos públicos lo hacen de forma mucho más moderada.De acuerdo con el estudio la Construcción terminó el 2021 con sus tres subsectores creciendo lo que no sucedía desde 2012 aunque esta vez una gran parte del resultado es un efecto estadístico ante la caída del 2020. El PIB del sector llegó a 1082 mil mdp 7.2 más que el año anterior siendo el total de la Edificación 762 mil mdp la Obra Civil aportó 146 mil mdp y los Trabajos Especializados 173 mil mdp. Por otro lado el empleo del sector sigue aumentando esta vez con 150 mil plazas más que en 2020 para llegar a 4.4 millones.No obstante aún faltan poco más de 280 mil mdp para hablar de una recuperación ya que en 2018 este sector presentó un PIB por 1287 mil mdp. En 2022 se espera que el sector crezca alrededor de medio punto porcentual en parte por la presión de precios por lo que tampoco habría un regreso al nivel previo a la pandemia menos aún a lo observado en 2018. En esta ocasión la Obra Civil tendrá un papel más relevante que en los últimos años gracias a la fuerte inversión en infraestructura en transporte y energía.La Obra Civil tendrá un papel más relevante que en los últimos años gracias a la fuerte inversión en infraestructura en transporte y energía.El Informe Situación Inmobiliaria México señala que el,0
"El Nuevo IRA admite el asesinato de la periodista Lyra McKee en Irlanda del Norte y pide perdón a su familia .  El consorcio TransJerusalem J-Net Ltd, formado por el Grupo CAF y la constructora Shapir , se ha adjudicado el proyecto del tren ligero de Jerusalén por un importe que supera los 1.800 millones de euros , según informó ayer el grupo empresarial guipuzcoa",0
"PIETRO BOSELLI, EL MAESTRO MÁS SEXY DEL MUNDO, DARÁ CLASES EN LA UNAM . PIETRO BOSELLI, EL MAESTRO MÁS SEXY DEL MUNDO, DARÁ CLASES EN LA UNAM México.- Gran sorpresa causó el presidente Enrique Peña Nieto, al revelar que acaba de cerrar un acuerdo con el famoso profesor de matemáticas de la en la University College of London, Pietro Boselli (que se hizo viral en todo el mundo al ser considerado como ""el maestro más sexy del planeta), para que de clases por un semestre en la Universidad Nacional Autónoma de México en el área de ingeniería. EPN mencionó que decidió revelar que el famoso profesor vendría a México a dar clases con la finalidad de ""que fuera un regalo por el día del maestro"", mencionando que ya es un hecho que dará clases en la facultad de ingeniería de la UNAM, por lo que el número de mujeres que han sacado ficha para ingresar a dicha carrera incrementó un *NUMBER*%: ""Decidimos contratar a Boselli para elevar el nivel académico de la UNAM, hace décadas nuestra universidad estaba en el top *NUMBER* de las mejores del mundo, y ahora ya hasta está a punto de salir del top *NUMBER*. Necesitamos que la gente del mundo ponga sus ojos en la UNAM para que vuelva a adquirir el prestigio de antes. Fue mi asesor quien me recomendó traer a Boselli, pero yo fui tajante y le dije que teníamos que hacerles pruebas para comprobar que era buen profesor, y merecía entrar en la nómina del gobierno. Por supuesto nos entusiasma el revuelo que causara su contratación, pero finalmente mi intención es aumentar el prestigio por lo que de nada sirve que sea tan guapo si no es bueno dando clases. Al final nos percatamos que de hecho está mucho mejor preparado",1
